[run number],initial-people,environment,healthy-treatment-chance-men,healthy-treatment-chance-women,dep-treatment-chance-men,dep-treatment-chance-women,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Mild Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Moderate Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Severe Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Mild Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Moderate Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Severe Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]","count turtles with [ talks? = TRUE and gender? = ""female"" ]","count turtles with [ talks? = TRUE and gender? = ""male"" ]","count turtles with [ treatment? = TRUE and gender? = ""female"" ]","count turtles with [ treatment? = TRUE and gender? = ""male"" ]"
6,1000,10,5.13,10.3,18,37,0,934,35,14,17,66,7.317,96,25,2.592644056,9.397598044,6.317813765,8.292490119,476,13,1,4,18,458,22,13,13,48,494,506,15,10,62,34
5,1000,10,5.13,10.3,18,37,0,945,37,7,11,55,6.878,98,34,2.521583135,8.835169743,6.174757282,7.624742268,501,8,2,4,14,444,29,5,7,41,515,485,23,11,65,33
8,1000,10,5.13,10.3,18,37,0,937,38,14,11,63,7.419,102,20,2.480734322,9.098685096,6.690335306,8.168356998,487,15,1,4,20,450,23,13,7,43,507,493,14,6,66,36
3,1000,10,5.13,10.3,18,37,0,935,27,13,25,65,7.565,81,30,2.560897701,9.164715256,7.020576132,8.079766537,462,10,6,8,24,473,17,7,17,41,486,514,16,14,61,20
2,1000,10,5.13,10.3,18,37,0,932,39,15,14,68,7.522,82,23,2.556398786,9.052586286,6.883858268,8.180894309,477,23,4,4,31,455,16,11,10,37,508,492,6,17,53,29
4,1000,10,5.13,10.3,18,37,0,940,31,18,11,60,7.154,98,35,2.467317424,9.056113162,6.378,7.93,481,10,6,3,19,459,21,12,8,41,500,500,24,11,73,25
7,1000,10,5.13,10.3,18,37,0,945,28,21,6,55,6.948,92,40,2.490110747,8.775950008,6.553398058,7.367010309,488,13,11,3,27,457,15,10,3,28,515,485,18,22,53,39
1,1000,10,5.13,10.3,18,37,0,935,35,13,17,65,7.224,98,35,2.514757079,9.130927149,6.31610338,8.142857143,481,15,3,4,22,454,20,10,13,43,503,497,18,17,75,23
6,1000,10,5.13,10.3,18,37,1,937,33,14,16,63,7.30484657,99,46,2.607588352,9.418212369,6.377336203,8.210360644,475,14,1,4,19,462,19,13,12,44,494,506,23,23,67,32
2,1000,10,5.13,10.3,18,37,1,933,38,15,14,67,7.554164301,73,28,2.565848024,9.056475865,6.916782291,8.212274182,477,22,5,4,31,456,16,10,10,36,508,492,16,12,52,21
5,1000,10,5.13,10.3,18,37,1,948,36,6,10,52,6.862738215,83,31,2.509828315,8.866774256,6.233104941,7.531317877,501,8,2,4,14,447,28,4,6,38,515,485,18,13,60,23
3,1000,10,5.13,10.3,18,37,1,936,27,13,24,64,7.560699413,101,38,2.55443147,9.176991712,7.043907134,8.049339584,462,10,6,8,24,474,17,7,16,40,486,514,19,19,67,34
8,1000,10,5.13,10.3,18,37,1,938,38,13,11,62,7.431899056,106,35,2.488080114,9.11682096,6.720406623,8.163596142,487,15,1,4,20,451,23,12,7,42,507,493,17,18,62,44
7,1000,10,5.13,10.3,18,37,1,947,27,21,5,53,6.950515325,107,25,2.478956891,8.786468197,6.602166345,7.320411664,488,13,11,3,27,459,14,10,2,26,515,485,17,8,73,34
4,1000,10,5.13,10.3,18,37,1,940,31,18,11,60,7.181592119,110,28,2.469448805,9.082347482,6.433980157,7.92920408,481,10,6,3,19,459,21,12,8,41,500,500,16,12,76,34
6,1000,10,5.13,10.3,18,37,2,939,31,13,17,61,7.313321278,94,34,2.611919204,9.444018822,6.426925658,8.178695659,475,14,1,4,19,464,17,12,13,42,494,506,23,11,72,22
1,1000,10,5.13,10.3,18,37,1,935,35,13,17,65,7.263740905,101,35,2.521064695,9.132344283,6.37565794,8.162545193,481,15,3,4,22,454,20,10,13,43,503,497,18,17,72,29
5,1000,10,5.13,10.3,18,37,2,948,36,6,10,52,6.898938159,98,36,2.519078153,8.872543117,6.273864795,7.562675855,501,8,2,4,14,447,28,4,6,38,515,485,23,13,60,38
2,1000,10,5.13,10.3,18,37,2,934,38,14,14,66,7.585111735,96,34,2.562262808,9.07326444,6.976548013,8.213466147,478,21,5,4,30,456,17,9,10,36,508,492,21,13,70,26
8,1000,10,5.13,10.3,18,37,2,940,38,12,10,60,7.430841135,102,32,2.496528964,9.130064298,6.768761792,8.11172192,487,15,1,4,20,453,23,11,6,40,507,493,17,15,72,30
7,1000,10,5.13,10.3,18,37,2,947,26,22,5,53,6.985221396,107,36,2.483601738,8.784696907,6.647519976,7.343811565,488,13,11,3,27,459,13,11,2,26,515,485,22,14,67,40
3,1000,10,5.13,10.3,18,37,2,936,28,14,22,64,7.544926407,102,30,2.549006765,9.211109447,7.057005874,8.006267611,462,11,6,7,24,474,17,8,15,40,486,514,11,19,68,34
6,1000,10,5.13,10.3,18,37,3,941,28,14,17,59,7.349323455,90,31,2.602560511,9.449506872,6.464802511,8.212867618,475,13,2,4,19,466,15,12,13,40,494,506,23,8,64,26
4,1000,10,5.13,10.3,18,37,2,940,32,18,10,60,7.178845423,105,41,2.476383127,9.076381603,6.469895075,7.88779577,481,10,6,3,19,459,22,12,7,41,500,500,24,17,74,31
1,1000,10,5.13,10.3,18,37,2,935,36,13,16,65,7.284822574,96,34,2.521387941,9.13355455,6.419214342,8.160880806,481,15,3,4,22,454,21,10,12,43,503,497,23,11,64,32
5,1000,10,5.13,10.3,18,37,3,949,35,6,10,51,6.949071669,82,19,2.512296894,8.875104143,6.305154739,7.632818513,501,8,2,4,14,448,27,4,6,37,515,485,15,4,55,27
2,1000,10,5.13,10.3,18,37,3,935,37,13,15,65,7.594452613,94,35,2.556241176,9.068580294,7.014344291,8.193426246,478,21,5,4,30,457,16,8,11,35,508,492,15,20,60,34
8,1000,10,5.13,10.3,18,37,3,940,38,12,10,60,7.442523995,90,36,2.5085201,9.143223905,6.790886816,8.112666085,487,15,1,4,20,453,23,11,6,40,507,493,21,15,61,29
6,1000,10,5.13,10.3,18,37,4,941,28,14,17,59,7.407192087,115,39,2.591163978,9.460581294,6.552114375,8.241991278,475,13,2,4,19,466,15,12,13,40,494,506,23,16,82,33
7,1000,10,5.13,10.3,18,37,3,947,26,21,6,53,7.011904026,83,32,2.501618527,8.787523151,6.686236117,7.357716341,488,13,10,4,27,459,13,11,2,26,515,485,19,13,51,32
3,1000,10,5.13,10.3,18,37,3,934,31,14,21,66,7.569088458,96,17,2.537914755,9.211805027,7.095249824,8.01711487,461,12,6,7,25,473,19,8,14,41,486,514,10,7,65,31
4,1000,10,5.13,10.3,18,37,3,941,32,18,9,59,7.176419146,92,24,2.483869422,9.069792884,6.481513321,7.871324971,482,9,6,3,18,459,23,12,6,41,500,500,15,9,63,29
5,1000,10,5.13,10.3,18,37,4,947,36,7,10,53,7.009635577,84,20,2.512524218,8.887095981,6.385531454,7.672344079,500,8,3,4,15,447,28,4,6,38,515,485,11,9,55,29
1,1000,10,5.13,10.3,18,37,3,939,34,11,16,61,7.269894765,106,40,2.539135381,9.139700413,6.426185846,8.123789305,482,14,3,4,21,457,20,8,12,40,503,497,22,18,74,32
6,1000,10,5.13,10.3,18,37,5,946,25,13,16,54,7.387219403,96,28,2.59106338,9.474176705,6.539881565,8.214462273,478,11,2,3,16,468,14,11,13,38,494,506,14,14,62,34
8,1000,10,5.13,10.3,18,37,4,942,37,12,9,58,7.418585025,94,29,2.508075137,9.161186652,6.792781391,8.062159959,487,15,1,4,20,455,22,11,5,38,507,493,17,12,66,28
7,1000,10,5.13,10.3,18,37,4,948,26,20,6,52,7.037763804,115,27,2.47702506,8.809002367,6.735610291,7.358607225,489,13,9,4,26,459,13,11,2,26,515,485,16,11,72,43
2,1000,10,5.13,10.3,18,37,4,935,37,13,15,65,7.625301046,106,44,2.561000836,9.079008601,7.039833029,8.229808673,479,20,5,4,29,456,17,8,11,36,508,492,25,19,74,32
3,1000,10,5.13,10.3,18,37,4,935,31,13,21,65,7.554410365,93,33,2.537868916,9.224754056,7.095323135,7.988488952,461,12,6,7,25,474,19,7,14,40,486,514,23,10,63,30
4,1000,10,5.13,10.3,18,37,4,942,32,17,9,58,7.186113971,92,39,2.490789406,9.058466757,6.530022785,7.842205156,482,9,6,3,18,460,23,11,6,40,500,500,22,17,72,20
5,1000,10,5.13,10.3,18,37,5,947,36,8,9,53,7.030241503,94,36,2.520935107,8.906258925,6.406873049,7.692168831,500,8,3,4,15,447,28,5,5,38,515,485,19,17,66,28
6,1000,10,5.13,10.3,18,37,6,946,25,14,15,54,7.422760945,103,20,2.593568815,9.479593007,6.631768495,8.194994682,478,11,2,3,16,468,14,12,12,38,494,506,9,11,81,22
1,1000,10,5.13,10.3,18,37,4,940,32,12,16,60,7.286106309,86,36,2.56009703,9.136902946,6.437713294,8.144741494,482,14,3,4,21,458,18,9,12,39,503,497,25,11,60,26
8,1000,10,5.13,10.3,18,37,5,943,38,10,9,57,7.444701459,88,31,2.504713627,9.184511252,6.850757619,8.055511859,487,15,1,4,20,456,23,9,5,37,507,493,19,12,57,31
7,1000,10,5.13,10.3,18,37,5,948,27,19,6,52,7.07887259,89,26,2.483626243,8.811572552,6.782605997,7.393464952,488,14,9,4,27,460,13,10,2,25,515,485,9,17,63,26
2,1000,10,5.13,10.3,18,37,5,936,37,12,15,64,7.618838723,104,34,2.59380577,9.112064381,7.072980211,8.182448732,479,20,5,4,29,457,17,7,11,35,508,492,22,12,68,36
3,1000,10,5.13,10.3,18,37,5,934,31,14,21,66,7.610425878,98,33,2.541423987,9.235183289,7.128063626,8.066511588,461,12,6,7,25,473,19,8,14,41,486,514,21,12,63,35
4,1000,10,5.13,10.3,18,37,5,945,30,15,10,55,7.190855214,95,39,2.495188993,9.053570542,6.562629273,7.819081155,482,9,6,3,18,463,21,9,7,37,500,500,29,10,63,32
6,1000,10,5.13,10.3,18,37,7,946,25,13,16,54,7.461859914,108,32,2.603618901,9.479834029,6.665139493,8.23968578,478,11,2,3,16,468,14,11,13,38,494,506,20,12,81,27
5,1000,10,5.13,10.3,18,37,6,945,37,9,9,55,7.057120679,81,23,2.529862224,8.911923878,6.414326405,7.739675424,499,9,3,4,16,446,28,6,5,39,515,485,10,13,58,23
8,1000,10,5.13,10.3,18,37,6,942,40,8,10,58,7.473377612,93,27,2.51292014,9.203729704,6.905071478,8.057822257,486,16,1,4,21,456,24,7,6,37,507,493,16,11,63,30
1,1000,10,5.13,10.3,18,37,5,942,31,11,16,58,7.302563241,98,35,2.556315568,9.144377028,6.458340432,8.156977874,482,14,3,4,21,460,17,8,12,37,503,497,19,16,73,25
7,1000,10,5.13,10.3,18,37,6,950,27,18,5,50,7.063112741,97,19,2.489994458,8.832297622,6.805957475,7.336174519,488,13,10,4,27,462,14,8,1,23,515,485,10,9,55,42
2,1000,10,5.13,10.3,18,37,6,935,37,13,15,65,7.637733057,76,31,2.609073616,9.105607052,7.130977239,8.160968738,479,19,6,4,29,456,18,7,11,36,508,492,18,13,48,28
6,1000,10,5.13,10.3,18,37,8,947,24,13,16,53,7.454060186,97,34,2.602833533,9.488692351,6.684395577,8.205471879,478,11,2,3,16,469,13,11,13,37,494,506,23,11,66,31
3,1000,10,5.13,10.3,18,37,6,935,30,14,21,65,7.621442386,95,33,2.541685762,9.256018598,7.175336548,8.043246738,462,11,6,7,24,473,19,8,14,41,486,514,18,15,71,24
4,1000,10,5.13,10.3,18,37,6,946,28,15,11,54,7.202414969,100,27,2.494939537,9.070050949,6.562629273,7.842200666,482,9,6,3,18,464,19,9,8,36,500,500,14,13,80,20
5,1000,10,5.13,10.3,18,37,7,950,34,7,9,50,7.026959916,111,24,2.554596184,8.946409082,6.40811732,7.684081435,500,8,3,4,15,450,26,4,5,35,515,485,14,10,77,34
8,1000,10,5.13,10.3,18,37,7,942,41,8,9,58,7.477903973,96,30,2.52499628,9.215054644,6.916656678,8.055089324,486,16,1,4,21,456,25,7,5,37,507,493,22,8,66,30
7,1000,10,5.13,10.3,18,37,7,952,26,17,5,48,7.098536884,81,35,2.489879599,8.843124577,6.863299034,7.34832553,489,13,9,4,26,463,13,8,1,22,515,485,21,14,52,29
1,1000,10,5.13,10.3,18,37,6,944,29,12,15,56,7.276527336,89,18,2.555207362,9.147561573,6.486747558,8.075841678,482,13,4,4,21,462,16,8,11,35,503,497,10,8,56,33
2,1000,10,5.13,10.3,18,37,7,935,37,13,15,65,7.661905092,95,31,2.611042467,9.135894494,7.150630619,8.189806378,479,19,6,4,29,456,18,7,11,36,508,492,17,14,65,30
6,1000,10,5.13,10.3,18,37,9,948,23,13,16,52,7.485179689,100,37,2.592369651,9.502753031,6.763306997,8.189932871,478,11,2,3,16,470,12,11,13,36,494,506,15,22,71,29
3,1000,10,5.13,10.3,18,37,7,934,31,14,21,66,7.632385285,89,32,2.559753297,9.257535384,7.194091042,8.046803577,462,11,6,7,24,472,20,8,14,42,486,514,15,17,61,28
4,1000,10,5.13,10.3,18,37,7,948,26,15,11,52,7.223601665,96,31,2.482353221,9.062864811,6.572188931,7.875014399,482,9,6,3,18,466,17,9,8,34,500,500,17,14,64,32
5,1000,10,5.13,10.3,18,37,8,950,34,8,8,50,7.028985117,100,38,2.548089884,8.957983914,6.449285939,7.644541977,500,7,4,4,15,450,27,4,4,35,515,485,21,17,64,36
8,1000,10,5.13,10.3,18,37,8,942,41,8,9,58,7.484745816,98,31,2.5287724,9.225127134,6.942632059,8.042254284,486,16,1,4,21,456,25,7,5,37,507,493,25,6,58,40
7,1000,10,5.13,10.3,18,37,8,951,25,19,5,49,7.151346541,96,23,2.493669541,8.851926375,6.890104161,7.428748244,488,14,9,4,27,463,11,10,1,22,515,485,8,15,62,34
1,1000,10,5.13,10.3,18,37,7,945,28,12,15,55,7.293510032,82,22,2.547906084,9.15684586,6.527935382,8.068327032,482,13,4,4,21,463,15,8,11,34,503,497,10,12,60,22
2,1000,10,5.13,10.3,18,37,8,935,37,13,15,65,7.674301012,109,33,2.623822536,9.161922936,7.162778814,8.202458078,479,19,6,4,29,456,18,7,11,36,508,492,21,12,73,36
6,1000,10,5.13,10.3,18,37,10,950,22,12,16,50,7.50875093,96,32,2.609035018,9.530139225,6.778334361,8.221845366,479,11,1,3,15,471,11,11,13,35,494,506,20,12,71,25
3,1000,10,5.13,10.3,18,37,8,935,30,13,22,65,7.656251859,109,32,2.559332041,9.273736701,7.258347954,8.032480066,462,11,5,8,24,473,19,8,14,41,486,514,21,11,73,36
4,1000,10,5.13,10.3,18,37,8,949,26,15,10,51,7.212291659,84,27,2.488522731,9.072834478,6.611722074,7.812861245,482,9,6,3,18,467,17,9,7,33,500,500,19,8,61,23
5,1000,10,5.13,10.3,18,37,9,951,33,8,8,49,7.04669147,94,31,2.534460226,8.990054837,6.483914053,7.644279861,500,7,4,4,15,451,26,4,4,34,515,485,14,17,75,19
8,1000,10,5.13,10.3,18,37,9,942,42,7,9,58,7.503346173,98,28,2.514518809,9.248134388,7.006208807,8.014601029,485,17,1,4,22,457,25,6,5,36,507,493,17,11,67,31
7,1000,10,5.13,10.3,18,37,9,952,24,19,5,48,7.194908437,88,38,2.512010446,8.850791457,6.960723026,7.443579544,488,14,9,4,27,464,10,10,1,21,515,485,17,21,58,30
1,1000,10,5.13,10.3,18,37,8,946,27,12,15,54,7.291898158,88,27,2.536487935,9.186495454,6.507792501,8.085469879,483,12,4,4,20,463,15,8,11,34,503,497,16,11,63,25
2,1000,10,5.13,10.3,18,37,9,936,38,12,14,64,7.617221313,95,31,2.623097823,9.182997845,7.184216277,8.064307814,478,20,6,4,30,458,18,6,10,34,508,492,21,10,63,32
6,1000,10,5.13,10.3,18,37,11,951,21,12,16,49,7.517655752,85,28,2.604327159,9.530231142,6.836007552,8.183138381,480,10,1,3,14,471,11,11,13,35,494,506,13,15,55,30
3,1000,10,5.13,10.3,18,37,9,934,31,14,21,66,7.678749649,94,27,2.587708404,9.2820719,7.277236389,8.058390591,462,11,6,7,24,472,20,8,14,42,486,514,12,15,59,35
4,1000,10,5.13,10.3,18,37,9,949,26,14,11,51,7.259225181,88,32,2.487440332,9.09066758,6.670575902,7.84787446,482,9,5,4,18,467,17,9,7,33,500,500,16,16,63,25
8,1000,10,5.13,10.3,18,37,10,943,41,8,8,57,7.516957919,94,28,2.490171001,9.278944504,7.026830988,8.021003262,485,16,2,4,22,458,25,6,4,35,507,493,14,14,68,26
5,1000,10,5.13,10.3,18,37,10,951,32,8,9,49,7.060298375,101,21,2.5129857,8.972972405,6.500952292,7.654243185,500,6,4,5,15,451,26,4,4,34,515,485,13,8,64,37
7,1000,10,5.13,10.3,18,37,10,951,25,19,5,49,7.208216287,90,34,2.522534344,8.85830756,6.996929268,7.432572606,488,14,9,4,27,463,11,10,1,22,515,485,17,17,63,27
1,1000,10,5.13,10.3,18,37,9,948,25,12,15,52,7.267500164,90,29,2.544607129,9.19017044,6.479114299,8.065403767,484,11,4,4,19,464,14,8,11,33,503,497,16,13,59,31
2,1000,10,5.13,10.3,18,37,10,939,35,12,14,61,7.612316541,113,17,2.634756407,9.202624454,7.218029168,8.019426269,479,19,6,4,29,460,16,6,10,32,508,492,12,5,79,34
6,1000,10,5.13,10.3,18,37,12,951,21,11,17,49,7.538669787,103,31,2.620719576,9.555376346,6.888812298,8.173115636,480,10,1,3,14,471,11,10,14,35,494,506,14,17,73,30
3,1000,10,5.13,10.3,18,37,10,936,28,15,21,64,7.670701595,93,37,2.588770345,9.30806397,7.275029106,8.044819941,463,9,7,7,23,473,19,8,14,41,486,514,17,20,60,33
4,1000,10,5.13,10.3,18,37,10,951,24,13,12,49,7.22818121,105,35,2.495742437,9.089180894,6.694267576,7.762094844,482,9,4,5,18,469,15,9,7,31,500,500,19,16,72,33
8,1000,10,5.13,10.3,18,37,11,943,42,8,7,57,7.549016979,96,34,2.49817661,9.289681016,7.093067801,8.017914003,485,16,2,4,22,458,26,6,3,35,507,493,14,20,68,28
7,1000,10,5.13,10.3,18,37,11,952,25,18,5,48,7.21907419,96,19,2.535311967,8.869336005,7.021891917,7.428453305,488,14,9,4,27,464,11,9,1,21,515,485,9,10,66,30
5,1000,10,5.13,10.3,18,37,11,952,31,8,9,48,7.080553445,101,35,2.496749836,8.956805095,6.524843152,7.670637571,500,6,4,5,15,452,25,4,4,33,515,485,24,11,69,32
6,1000,10,5.13,10.3,18,37,13,949,24,11,16,51,7.542809285,101,36,2.616767574,9.563149638,6.892264763,8.177925873,479,11,1,3,15,470,13,10,13,36,494,506,24,12,70,31
3,1000,10,5.13,10.3,18,37,11,940,25,14,21,60,7.660203552,102,23,2.609172226,9.323064634,7.330748702,7.971711445,463,9,7,7,23,477,16,7,14,37,486,514,16,7,74,28
2,1000,10,5.13,10.3,18,37,11,939,36,11,14,61,7.623711395,92,30,2.618036025,9.220644093,7.260525064,7.998708664,478,20,6,4,30,461,16,5,10,31,508,492,17,13,63,29
1,1000,10,5.13,10.3,18,37,10,947,26,12,15,53,7.324977298,93,26,2.540682028,9.19816513,6.558284895,8.100925545,483,12,4,4,20,464,14,8,11,33,503,497,15,11,54,39
4,1000,10,5.13,10.3,18,37,11,951,24,13,12,49,7.248610802,105,33,2.498611774,9.095945902,6.731774613,7.765446992,482,9,4,5,18,469,15,9,7,31,500,500,16,17,72,33
8,1000,10,5.13,10.3,18,37,12,944,41,8,7,56,7.554300928,102,29,2.491982266,9.299777741,7.112883168,8.008253877,485,16,2,4,22,459,25,6,3,34,507,493,20,9,68,34
5,1000,10,5.13,10.3,18,37,12,953,30,8,9,47,7.08768278,90,24,2.499960635,8.972739871,6.536538477,7.672918484,500,6,4,5,15,453,24,4,4,32,515,485,11,13,58,32
7,1000,10,5.13,10.3,18,37,12,952,25,18,5,48,7.243540051,107,33,2.541062525,8.882218788,7.061654706,7.436676036,488,14,9,4,27,464,11,9,1,21,515,485,21,12,72,35
3,1000,10,5.13,10.3,18,37,12,940,25,14,21,60,7.675036397,87,35,2.600954434,9.344408858,7.344998498,7.987095578,464,9,6,7,22,476,16,8,14,38,486,514,21,14,66,21
6,1000,10,5.13,10.3,18,37,14,951,23,11,15,49,7.578506621,109,45,2.632545524,9.566340675,6.972058481,8.170572591,479,11,1,3,15,472,12,10,12,34,494,506,20,25,75,34
2,1000,10,5.13,10.3,18,37,12,941,35,11,13,59,7.592599791,100,34,2.626637884,9.226417676,7.30109637,7.893582998,478,20,6,4,30,463,15,5,9,29,508,492,25,9,63,37
4,1000,10,5.13,10.3,18,37,12,952,23,13,12,48,7.277771465,100,42,2.505917101,9.095161792,6.798542373,7.757000556,482,9,4,5,18,470,14,9,7,30,500,500,20,22,67,33
1,1000,10,5.13,10.3,18,37,11,947,25,13,15,53,7.385748359,98,41,2.541867885,9.217769944,6.616106871,8.164681293,483,11,5,4,20,464,14,8,11,33,503,497,18,23,64,34
7,1000,10,5.13,10.3,18,37,13,953,25,17,5,47,7.250717006,112,30,2.534699425,8.910130655,7.07051935,7.442060908,488,14,9,4,27,465,11,8,1,20,515,485,20,10,69,43
8,1000,10,5.13,10.3,18,37,13,944,41,8,7,56,7.574320469,92,27,2.50844525,9.309484141,7.129228039,8.032052439,485,16,2,4,22,459,25,6,3,34,507,493,16,11,60,32
5,1000,10,5.13,10.3,18,37,13,954,29,8,9,46,7.135906156,99,24,2.490153846,9.009398544,6.620345787,7.683356858,500,6,4,5,15,454,23,4,4,31,515,485,13,11,71,28
3,1000,10,5.13,10.3,18,37,13,940,24,15,21,60,7.702364348,118,24,2.597775483,9.35424609,7.382258324,8.005032689,464,8,7,7,22,476,16,8,14,38,486,514,17,7,81,37
6,1000,10,5.13,10.3,18,37,15,952,23,10,15,48,7.580185297,111,24,2.638095468,9.576183481,7.00282745,8.143850862,478,12,1,3,16,474,11,9,12,32,494,506,13,11,73,38
4,1000,10,5.13,10.3,18,37,13,952,23,13,12,48,7.288871381,85,34,2.499778606,9.135933628,6.825743148,7.751999614,482,9,4,5,18,470,14,9,7,30,500,500,18,16,65,20
2,1000,10,5.13,10.3,18,37,13,941,35,11,13,59,7.621397851,94,33,2.633103483,9.253342898,7.339873226,7.912077747,478,20,6,4,30,463,15,5,9,29,508,492,17,16,61,33
1,1000,10,5.13,10.3,18,37,12,951,23,12,14,49,7.364151197,90,31,2.53612315,9.234126152,6.6312202,8.105930455,484,9,6,4,19,467,14,6,10,30,503,497,21,10,72,18
7,1000,10,5.13,10.3,18,37,14,954,24,17,5,46,7.250261061,92,33,2.542864273,8.935060993,7.075639613,7.435683836,488,14,9,4,27,466,10,8,1,19,515,485,19,14,62,30
8,1000,10,5.13,10.3,18,37,14,946,40,7,7,54,7.582243515,109,28,2.508606121,9.313209347,7.176949256,7.999047144,484,17,2,4,23,462,23,5,3,31,507,493,18,10,79,30
5,1000,10,5.13,10.3,18,37,14,957,27,8,8,43,7.148608114,91,23,2.50296816,9.021307805,6.635373771,7.693588912,500,6,4,5,15,457,21,4,3,28,515,485,11,12,59,32
6,1000,10,5.13,10.3,18,37,16,955,22,9,14,45,7.578629742,108,26,2.62896568,9.573582082,7.016060259,8.127857656,478,12,1,3,16,477,10,8,11,29,494,506,15,11,75,33
3,1000,10,5.13,10.3,18,37,14,940,26,13,21,60,7.699782719,95,41,2.591966777,9.35638846,7.413842951,7.970146001,463,9,6,8,23,477,17,7,13,37,486,514,26,15,68,27
4,1000,10,5.13,10.3,18,37,14,953,23,12,12,47,7.307490876,105,38,2.497028782,9.146672391,6.862563583,7.752418169,482,9,4,5,18,471,14,8,7,29,500,500,23,15,79,26
2,1000,10,5.13,10.3,18,37,14,941,36,11,12,59,7.631297526,99,33,2.618270478,9.263280248,7.356063155,7.91548261,478,20,6,4,30,463,16,5,8,29,508,492,19,14,64,35
7,1000,10,5.13,10.3,18,37,15,953,25,17,5,47,7.268912532,88,31,2.547076629,8.942065721,7.072657892,7.477306633,487,15,9,4,28,466,10,8,1,19,515,485,22,9,57,31
8,1000,10,5.13,10.3,18,37,15,947,39,7,7,53,7.571377486,86,30,2.537821848,9.317343872,7.205567145,7.94757595,483,18,2,4,24,464,21,5,3,29,507,493,19,11,62,24
5,1000,10,5.13,10.3,18,37,15,957,27,8,8,43,7.160289913,90,28,2.500673008,9.020314936,6.642616589,7.709984268,500,6,4,5,15,457,21,4,3,28,515,485,10,18,59,31
